# SECOND ORACLE — analyst consensus. NOT ground truth. NEVER merge into
# calibration_targets.csv, and never average the two metrics.
#
# Why separate: calibration_targets.csv holds INDEPENDENT INTRINSIC valuations
# from the 1,001-name cross-check. This file holds where the SELL SIDE expects
# the price to go. Different question, different failure modes: consensus is
# anchored to price, lags turning points, and is structurally long-biased.
# Being right sometimes REQUIRES disagreeing with it, so a low score here is
# evidence to examine, never automatically a defect.
#
# Built 2026-07-27 from the live book (top 250 by market cap), >=3 analysts,
# low<high. Covers 215/250 — the large-cap segment where independent ground
# truth reaches only 85/250 (34%).
#
# ticker,consensus_low,consensus_high,consensus_target,n_analysts,price_at_capture
RELIANCE,1360,1890,1688,28,1281
BHARTIARTL,1800,2550,2286,29,1905
HDFCBANK,900,1400,1032,38,740
ICICIBANK,1592,1970,1738,38,1445
SBIN,980,1301,1204,36,1021
TCS,1693,3480,2401,39,2297
BAJFINANCE,747,1290,1089,34,1048
BAJAJFINSV,1600,2430,2155,15,1913
HINDUNILVR,1759,3090,2565,36,2175
SUNPHARMA,1650,2366,2059,33,1974
LICI,850,1450,1108,19,424
INFY,940,1610,1209,40,1080
GRASIM,3335,3900,3616,8,3120
MARUTI,12500,18500,16086,38,13730
TITAN,3600,5800,5000,35,4740
ADANIPOWER,202,275,242,8,214
ADANIENT,2800,3744,3394,3,3037
GMRAIRPORT,93,140,119,7,108
ADANIPORTS,1764,2200,1963,23,1774
AXISBANK,1430,1780,1587,40,1228
KOTAKBANK,380,518,464,37,385
NTPC,335,485,437,25,351
ITC,290,502,349,33,286
ONGC,230,405,311,30,239
HCLTECH,900,1682,1260,38,1296
ULTRACEMCO,8900,15330,13807,37,11881
JSWSTEEL,1100,1650,1366,34,1241
HAL,3200,6300,5217,25,4618
BEL,346,585,487,26,407
NESTLEIND,1218,1815,1564,36,1444
ETERNAL,170,483,383,31,296
POWERGRID,283,500,338,22,289
VEDL,265,350,316,5,261
ASIANPAINT,1886,3600,2885,34,2710
COALINDIA,350,550,466,24,428
DMART,3250,5723,4350,30,4028
TATASTEEL,170,275,223,34,184
HINDZINC,515,765,653,13,530
ADANIGREEN,1000,1800,1421,8,1388
EICHERMOT,6680,9100,8023,33,7776
HINDALCO,742,1430,1104,31,945
ADANIENSOL,1434,1968,1637,10,1703
IOC,110,217,157,31,142
INDIGO,4050,6600,5696,25,5235
TVSMOTOR,2370,5300,4171,37,3946
SHRIRAMFIN,801,1260,1172,33,1038
DIVISLAB,4486,9450,7037,26,7334
WIPRO,147,226,176,37,178
SBILIFE,1975,2700,2385,35,1867
PFC,450,550,512,15,418
SOLARINDS,10300,22004,19376,15,18147
PIDILITIND,1350,1955,1649,17,1612
TORNTPHARM,3770,5423,4840,29,4892
TATAPOWER,300,490,419,20,373
HYUNDAI,2050,2970,2645,23,1985
MOTHERSON,118,182,150,21,149
VBL,450,657,590,24,460
TRENT,2733,3862,3266,25,2938
CUMMINSIND,2872,7100,5424,23,5630
TMCV,369,475,413,4,416
ABB,4800,8030,6292,27,7201
CHOLAFIN,1495,2130,1864,34,1785
TATACAP,344,377,362,5,356
BSE,3440,5255,4222,15,3543
BHEL,140,537,383,18,415
POWERINDIA,23595,46700,32829,17,31605
IDEA,5,17,11,19,13
TECHM,1080,1900,1591,38,1575
POLYCAB,6490,11900,9875,30,9007
CGPOWER,70,1100,827,18,877
BPCL,233,518,337,31,316
UNIONBANK,160,225,195,16,170
BRITANNIA,4800,7240,6286,33,5385
SIEMENS,2750,4375,3769,24,3638
PNB,88,135,121,16,112
APOLLOHOSP,6230,10770,9356,26,8837
AMBUJACEM,325,784,526,39,431
BANKBARODA,225,358,311,32,241
LTM,3046,6162,4361,37,4189
BOSCHLTD,37499,48165,43798,4,41250
MUTHOOTFIN,2126,4700,3754,21,3026
LODHA,940,1480,1232,18,1199
JSWENERGY,455,720,618,17,550
HDFCLIFE,620,990,755,34,553
TATACONSUM,1155,1460,1354,27,1107
ENRIN,2536,4000,3326,9,3265
LLOYDSME,1740,2200,1940,6,2015
MARICO,556,1010,903,38,859
GAIL,147,270,187,32,174
CIPLA,1120,1820,1515,37,1409
ZYDUSLIFE,800,1457,1110,29,1107
CANBK,103,160,150,19,127
LUPIN,1800,2900,2464,35,2409
GODREJCP,821,1505,1267,32,1075
HDFCAMC,2590,3340,3104,26,2553
INDHOTEL,699,925,822,28,732
JINDALSTEL,595,1450,1279,31,1066
ABCAPITAL,365,460,414,12,400
MAXHEALTH,825,1380,1176,24,1115
MANKIND,2150,3260,2642,15,2558
BHARATFORG,1060,2500,1867,22,2184
UNITDSPR,1303,1993,1577,24,1485
LGEINDIA,1800,2050,1898,15,1528
HEROMOTOCO,4200,7500,5834,32,5111
INDUSTOWER,345,580,451,22,387
TMPV,300,525,369,27,328
ASHOKLEY,123,250,176,34,155
SHREECEM,19900,35697,28038,39,26955
TIINDIA,2783,3589,3294,4,2853
RECLTD,380,633,449,13,368
DLF,700,1000,823,21,651
NYKAA,150,310,238,22,327
DRREDDY,1039,1740,1271,38,1150
AUROPHARMA,1185,1810,1574,27,1551
MAZDOCK,1950,3275,2689,7,2326
FEDERALBNK,285,425,360,34,357
ICICIGI,1430,2430,1931,24,1681
DIXON,8157,17650,13049,31,13810
HINDPETRO,275,679,411,32,394
PAYTM,780,1650,1385,15,1285
WAAREEENER,2087,4400,3389,9,2741
PERSISTENT,3749,6566,5161,34,5266
BHARTIHEXA,1380,2280,1962,10,1619
AUBANK,800,1275,1089,28,1052
NTPCGREEN,85,120,106,4,94
INDUSINDBK,625,1250,911,35,1006
LTF,195,390,348,19,312
SRF,2200,3579,2979,29,2639
PRESTIGE,1440,2380,1849,20,1648
HAVELLS,1144,1703,1393,37,1236
NAUKRI,1000,1595,1345,18,1195
NAM-INDIA,789,1250,1085,23,1166
DABUR,375,620,523,37,427
ICICIPRULI,570,945,687,34,509
TORNTPOWER,1255,1700,1438,10,1439
NMDC,67,112,89,20,84
SUZLON,52,75,65,12,53
PHOENIXLTD,1700,2444,2032,19,2036
FORTIS,950,1240,1106,16,943
IDFCFIRSTB,65,100,78,21,85
YESBANK,15,28,20,12,23
UNOMINDA,950,1493,1258,19,1162
POLICYBZR,1370,2300,1948,22,1552
BAJAJHFL,82,140,108,11,86
MCX,3050,3867,3520,13,2750
NHPC,72,117,90,8,80
ALKEM,4200,6890,5912,19,5613
JSWINFRA,240,395,346,14,322
SAIL,125,230,174,28,163
OBEROIRLTY,1240,2800,2031,26,1833
MFSL,1750,2725,2054,26,1507
SCHAEFFLER,4150,5344,4750,8,4177
CHOLAHLDNG,1500,2470,2108,3,1527
BANKINDIA,115,175,152,4,138
NATIONALUM,293,480,392,13,340
GODREJPROP,1525,3200,2285,21,2075
GLENMARK,570,2750,2206,10,2199
COFORGE,1190,2200,1667,34,1532
SBICARD,500,1006,742,25,643
JSL,790,1000,876,16,724
ABBOTINDIA,30660,38100,34065,5,27770
BERGEPAINT,425,650,541,22,503
GICRE,339,550,454,4,359
KALYANKJIL,490,770,658,9,565
UPL,600,890,766,19,609
COLPAL,1900,2745,2258,28,2135
VOLTAS,1025,1550,1341,36,1316
LINDEINDIA,5869,8209,6731,3,6758
COROMANDEL,2100,2951,2414,10,2003
BIOCON,326,506,426,17,436
APARINDS,10740,15171,13547,7,14145
HDBFS,740,900,824,9,685
RADICO,3700,4500,3987,20,4149
MRF,113936,161675,133952,10,131135
MOTILALOFS,975,1250,1113,5,869
VMM,100,192,161,14,110
APLAPOLLO,1490,2810,2180,16,1849
THERMAX,3075,5930,4385,19,4433
FLUOROCHEM,3478,5221,4183,16,4543
M&MFIN,270,410,348,32,354
TATACOMM,1450,2600,1998,8,1735
SUNDARMFIN,4450,5499,5010,10,4410
360ONE,1240,1600,1346,11,1133
IPCALAB,1405,1980,1738,15,1778
PREMIERENE,780,1340,1159,10,1037
KEI,4200,6670,5281,22,4866
BDL,1080,1593,1318,13,1256
ASTERDM,736,1070,819,11,805
PAGEIND,31500,48810,41661,23,39840
MPHASIS,2162,3400,2658,36,2333
JKCEMENT,4200,7400,6187,28,5732
GLAXO,2600,3054,2793,3,2551
AIAENG,3568,6000,4559,12,4636
SUPREMEIND,3050,4700,4057,27,3358
WELCORP,1458,1610,1536,6,1600
AJANTPHARM,2615,3950,3349,15,3386
PIIND,2280,5500,3265,25,2742
EMBASSY,450,516,482,16,438
PETRONET,240,400,315,32,273
GLAND,1630,2900,2274,15,2427
IRCTC,537,800,662,7,493
ASTRAL,1450,2024,1721,29,1466
NAVINFLUOR,4600,9158,7370,26,7704
BALKRISIND,1830,2761,2263,17,2023
ENDURANCE,2500,3300,2908,14,2733
CONCOR,456,682,534,18,511
UBL,1200,2100,1518,20,1429
MEDANTA,1235,1707,1394,10,1405
PATANJALI,500,695,588,4,345
