ticker,archetype,eng_verdict,eng_mos,target_verdict,target_lo,target_hi,cause,vintage
NATCOPHARM,PHARMA,BUY,0.972387725748791,LOW CONF,884.7,1837.4,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
GODFRYPHLP,CONSUMER,BUY,0.9685432668880027,BUY,1805.0,3748.8,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
AWL,CONSUMER,BUY,0.9120234307550004,REDUCE,104.8,217.6,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
KKCL,CONSUMER_DISC,BUY,0.8876043198664012,REDUCE,287.5,597.2,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
GENUSPOWER,MANUFACTURING,BUY,0.858350951797276,AVOID,143.8,298.6,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
COALINDIA,METAL,,,HOLD,380,445,"independent 2026-08-01 (multi-agent, financials only): two genuinely independent legs (an earnings multiple against a cash-flow or balance-sheet anchor, never P/E x EV/EBITDA off the same year) plus TWO adversarial audit passes that re-pulled the statements. None of the three passes saw the engine's answer. UNION OF CONCERNS - dropped if ANY audit run flagged non-independence; band = envelope of both audit runs intersected with pass 1; both audits must supply a band. Audit-run overlap 93%. pass1 [380, 460], audits [[365, 440], [370, 445]]. band 380-445 vs price 417.2.",FRESH
KPITTECH,IT_SERVICES,BUY,0.7708772013080868,REDUCE,291.4,605.1,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
BLS,CONSUMER,BUY,0.7651939727345547,LOW CONF,343.6,713.6,engine-bearish: compounder growth/CAP caps (VAL-02),OLD
SAMHI,CONSUMER_DISC,BUY,0.7443942849015301,LOW CONF,383.8,797.1,engine-bearish: compounder growth/CAP caps (VAL-02),OLD
CESC,UTILITIES,BUY,0.7427650038435465,AVOID,78.5,163.1,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
WEBELSOLAR,MANUFACTURING,BUY,0.6188829625313877,LOW CONF,28.4,58.9,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
CHALET,CONSUMER,BUY,0.5161624458332322,LOW CONF,121.8,252.9,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
WIPRO,IT_SERVICES,,,HOLD,150,185,"independent 2026-08-01 (multi-agent, financials only): two genuinely independent legs (an earnings multiple against a cash-flow or balance-sheet anchor, never P/E x EV/EBITDA off the same year) plus TWO adversarial audit passes that re-pulled the statements. None of the three passes saw the engine's answer. UNION OF CONCERNS - dropped if ANY audit run flagged non-independence; band = envelope of both audit runs intersected with pass 1; both audits must supply a band. Audit-run overlap 79%. pass1 [150, 185], audits [[142, 180], [150, 188]]. band 150-185 vs price 186.33.",FRESH
HCLTECH,IT_SERVICES,BUY,0.51582593183737,REDUCE,702.6,1459.3,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
TCS,IT_SERVICES,,,HOLD,2250,2750,"independent 2026-08-01 (multi-agent, financials only): two genuinely independent legs (an earnings multiple against a cash-flow or balance-sheet anchor, never P/E x EV/EBITDA off the same year) plus TWO adversarial audit passes that re-pulled the statements. None of the three passes saw the engine's answer. UNION OF CONCERNS - dropped if ANY audit run flagged non-independence; band = envelope of both audit runs intersected with pass 1; both audits must supply a band. Audit-run overlap 80%. pass1 [2250, 2750], audits [[2200, 2800], [2200, 2600]]. band 2250-2750 vs price 2446.6.",FRESH
INDIAMART,CONSUMER,BUY,0.4123336281763823,BUY,1463.1,3038.7,threshold/judgment difference (<0.30 gap),OLD
LEMONTREE,CONSUMER,BUY,0.3866425073574831,AVOID,54.2,112.5,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
HEXT,IT_SERVICES,BUY,0.37872605265784887,REDUCE,284.0,589.9,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
GPPL,LOGISTICS,BUY,0.37664434331120106,AVOID,68.0,141.3,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
INDUSTOWER,TELECOM,BUY,0.3752775665454349,ACCUMULATE,345.7,506.8,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
ZENSARTECH,IT_SERVICES,BUY,0.3195680664330415,ACCUMULATE,472.6,639.3,threshold/judgment difference (<0.30 gap),OLD
ZYDUSLIFE,PHARMA,BUY,0.31904984573079315,REDUCE,668.0,1387.3,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
NMDC,METAL,BUY,0.2520328125508649,REDUCE,39.2,97.6,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
CRIZAC,MANUFACTURING,BUY,0.2241588377981403,REDUCE,90.4,187.8,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
GRINFRA,CONSTRUCTION,ACCUMULATE,0.9301256545643602,REDUCE,561.7,999.1,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
MASTEK,IT_SERVICES,ACCUMULATE,0.877417539602734,ACCUMULATE,1704.4,2305.9,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
LGBBROSLTD,CAPITAL_GOODS,ACCUMULATE,0.829988576919325,REDUCE,1032.8,1397.3,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
PNGJL,CONSUMER_DISC,ACCUMULATE,0.7904349053044782,LOW CONF,173.2,359.7,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
REDINGTON,DISTRIBUTION,ACCUMULATE,0.7882281286149788,AVOID,106.0,220.2,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
LTFOODS,CONSUMER,ACCUMULATE,0.7822627992996695,BUY,312.9,649.8,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
PATELENG,CONSTRUCTION,ACCUMULATE,0.7746016734121137,REDUCE,17.6,28.1,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
COROMANDEL,CHEMICALS,ACCUMULATE,0.742875305899026,AVOID,731.7,1835.6,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
BPCL,ENERGY,ACCUMULATE,0.7048989643179114,BUY,215.3,540.1,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
BALMLAWRIE,MANUFACTURING,ACCUMULATE,0.7018439919232233,REDUCE,119.4,161.5,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
SBIN,BANK,ACCUMULATE,0.68349698865689,LOW CONF,1351.5,2806.9,engine-bearish: terminal-ROE cap forbids premium book multiples (VAL-02-fin),OLD
PNB,BANK,ACCUMULATE,0.6224575127655444,LOW CONF,191.5,397.7,engine-bearish: terminal-ROE cap forbids premium book multiples (VAL-02-fin),OLD
JKIL,CONSTRUCTION,ACCUMULATE,0.5957846448975664,REDUCE,324.1,517.7,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
KRISHANA,CHEMICALS,ACCUMULATE,0.5773369366241755,AVOID,52.9,132.6,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
RAYMOND,REALTY,ACCUMULATE,0.5595967725577297,REDUCE,300.4,753.7,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
KPIGREEN,UTILITIES,ACCUMULATE,0.5465652485805131,AVOID,174.0,361.3,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
INDIANB,BANK,ACCUMULATE,0.5280918851466232,BUY,910.6,1232.0,threshold/judgment difference (<0.30 gap),OLD
EIDPARRY,CONSUMER,ACCUMULATE,0.5038251390914832,AVOID,330.9,557.4,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
DDEVPLSTIK,MANUFACTURING,ACCUMULATE,0.4921630924180703,AVOID,124.7,259.0,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
RAYMONDREL,REALTY,ACCUMULATE,0.4908872772882638,REDUCE,300.4,753.7,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
WEWORK,REALTY,ACCUMULATE,0.4857261836148823,LOW CONF,68.9,172.8,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
SHAKTIPUMP,CAPITAL_GOODS,ACCUMULATE,0.43202171741322853,AVOID,223.0,301.7,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
EIEL,UTILITIES,ACCUMULATE,0.4281047517504901,REDUCE,113.2,235.1,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
JKTYRE,AUTO,ACCUMULATE,0.40638887339469854,AVOID,95.2,217.5,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class),OLD
AGI,MANUFACTURING,ACCUMULATE,0.3707039375068763,AVOID,290.3,603.0,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
JYOTHYLAB,CONSUMER,ACCUMULATE,0.340284515324987,ACCUMULATE,144.1,299.4,threshold/judgment difference (<0.30 gap),OLD
VADILALIND,CONSUMER,ACCUMULATE,0.3266235217688051,AVOID,3023.7,6279.9,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family),OLD
