ticker,verdict,mos,confidence,alpha_score,explainability,tensions,bull_case,bear_case,key_assumptions,changes_call,note,crosscheck_class,crosscheck_cause
NATCOPHARM,BUY,0.972387725748791,high,51.9,Weakly-justified,claims market is +97% wrong on a liquid name,model sees +97% to blended fair value; trades 12x vs sector-normal 30x,TENSION: claims market is +97% wrong on a liquid name,Rests on: sector-derived discount rate (PHARMA); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Engine-should-have-abstained,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
GODFRYPHLP,BUY,0.9685432668880027,high,47.2,Weakly-justified,claims market is +97% wrong on a liquid name,model sees +97% to blended fair value; returns on equity of 20% evidence a real franchise; trades 22x vs sector-normal 42x,TENSION: claims market is +97% wrong on a liquid name,Rests on: sector-derived discount rate (CONSUMER); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Dir-agree-magnitude-off,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class)
AWL,BUY,0.9120234307550004,high,53.4,Weakly-justified,claims market is +91% wrong on a liquid name,model sees +91% to blended fair value; trades 23x vs sector-normal 42x; street consensus +74%,thin 9% returns on equity; TENSION: claims market is +91% wrong on a liquid name,Rests on: sector-derived discount rate (CONSUMER); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class)
KKCL,BUY,0.8876043198664012,medium,59.2,Weakly-justified,claims market is +89% wrong on a liquid name,model sees +89% to blended fair value; returns on equity of 16% evidence a real franchise; trades 21x vs sector-normal 38x; street consensus +37%,TENSION: claims market is +89% wrong on a liquid name,Rests on: sector-derived discount rate (CONSUMER_DISC); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
GENUSPOWER,BUY,0.858350951797276,medium,61.5,Weakly-justified,claims market is +86% wrong on a liquid name,model sees +86% to blended fair value; returns on equity of 25% evidence a real franchise; trades 15x vs sector-normal 28x; street consensus +40%,TENSION: claims market is +86% wrong on a liquid name,Rests on: sector-derived discount rate (MANUFACTURING); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
COALINDIA,BUY,0.8354643649219108,high,80.7,Weakly-justified,claims market is +84% wrong on a liquid name,model sees +84% to blended fair value; returns on equity of 26% evidence a real franchise; trades 8x vs sector-normal 12x; Alpha Score 81 (multi-factor support); street consensus +9%,TENSION: claims market is +84% wrong on a liquid name,Rests on: sector-derived discount rate (ENERGY); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Dir-agree-magnitude-off,engine-rich: thin-margin name on rich sector multiples (VAL-01/AWL-class)
KPITTECH,BUY,0.7708772013080868,high,52.0,Weakly-justified,claims market is +77% wrong on a liquid name,model sees +77% to blended fair value; returns on equity of 18% evidence a real franchise; street consensus +46%,TENSION: claims market is +77% wrong on a liquid name,Rests on: sector-derived discount rate (IT_SERVICES); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
BLS,BUY,0.7651939727345547,high,53.7,Weakly-justified,claims market is +77% wrong on a liquid name,model sees +77% to blended fair value; returns on equity of 29% evidence a real franchise; trades 14x vs sector-normal 42x; street consensus +41%,TENSION: claims market is +77% wrong on a liquid name,Rests on: sector-derived discount rate (CONSUMER); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Engine-should-have-abstained,engine-bearish: compounder growth/CAP caps (VAL-02)
SAMHI,BUY,0.7443942849015301,medium,60.6,Weakly-justified,claims market is +74% wrong on a liquid name,model sees +74% to blended fair value; returns on equity of 26% evidence a real franchise; trades 6x vs sector-normal 38x; street consensus +83%,TENSION: claims market is +74% wrong on a liquid name,Rests on: sector-derived discount rate (CONSUMER_DISC); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Engine-should-have-abstained,engine-bearish: compounder growth/CAP caps (VAL-02)
CESC,BUY,0.7427650038435465,high,59.6,Weakly-justified,claims market is +74% wrong on a liquid name,model sees +74% to blended fair value; street consensus +30%,TENSION: claims market is +74% wrong on a liquid name,Rests on: sector-derived discount rate (UTILITIES); statement-derived growth/margins; terminal reinvestment at mature returns.,"Call flips if the model MoS crosses the band edges (±10–15pp), if quality legs deteriorate, or on a data-confidence downgrade.",,Disagree,engine-rich: exit-multiple/sector-P-E leg inflation (VAL-01 family)
